city,source_file,source_row,date,station_id,tmax,tmin,tmean,rain_mm,snowfall_cm,precip_mm,tmean_analysis,tmean_derived,quality_notes,winter_year,year,month,is_winter,in_study_period,snow_day,very_cold_day,mean_temp,temp_anomaly,snowfall_total_cm,snow_days,days_below_m20,baseline_mean_temp,baseline_n_winters,baseline_status,winter_label,temperature_pass,snowfall_pass,cold_days_pass,enso_index,enso_value,enso_class,strong_el_nino,oni_djf,roni_djf,enso_class_oni,enso_class_roni,strong_el_nino_oni,strong_el_nino_roni,city_name,region,latitude_approx,included_in_proposal,included_in_repo_study
windsor,windsor_daily.csv,61,1981-03-01,4716,3.8,-0.6,1.6,0,0,0,1.6,False,,,1981,3,False,False,0,0,,,,,,,,,,,,,,,,,,,,,,,Windsor,Southwest,42.28,True,True
windsor,windsor_daily.csv,62,1981-03-02,4716,1.4,-5.3,-2,0,0,0.2,-2,False,,,1981,3,False,False,0,0,,,,,,,,,,,,,,,,,,,,,,,Windsor,Southwest,42.28,True,True
windsor,windsor_daily.csv,63,1981-03-03,4716,1.3,-6,-2.4,0,0,0,-2.4,False,,,1981,3,False,False,0,0,,,,,,,,,,,,,,,,,,,,,,,Windsor,Southwest,42.28,True,True
windsor,windsor_daily.csv,64,1981-03-04,4716,1.5,-1.1,0.2,0,0.6,0.6,0.2,False,,,1981,3,False,False,0,0,,,,,,,,,,,,,,,,,,,,,,,Windsor,Southwest,42.28,True,True
windsor,windsor_daily.csv,65,1981-03-05,4716,1.6,-3.2,-0.8,0,0,0,-0.8,False,,,1981,3,False,False,0,0,,,,,,,,,,,,,,,,,,,,,,,Windsor,Southwest,42.28,True,True
windsor,windsor_daily.csv,66,1981-03-06,4716,1,-3.6,-1.3,0,2,1.8,-1.3,False,,,1981,3,False,False,1,0,,,,,,,,,,,,,,,,,,,,,,,Windsor,Southwest,42.28,True,True
windsor,windsor_daily.csv,67,1981-03-07,4716,0.8,-6.8,-3,0,0,0,-3,False,,,1981,3,False,False,0,0,,,,,,,,,,,,,,,,,,,,,,,Windsor,Southwest,42.28,True,True
windsor,windsor_daily.csv,68,1981-03-08,4716,7.3,-0.2,3.6,0,0,0,3.6,False,,,1981,3,False,False,0,0,,,,,,,,,,,,,,,,,,,,,,,Windsor,Southwest,42.28,True,True
windsor,windsor_daily.csv,69,1981-03-09,4716,7,-0.8,3.1,1.2,0,1.2,3.1,False,,,1981,3,False,False,0,0,,,,,,,,,,,,,,,,,,,,,,,Windsor,Southwest,42.28,True,True
windsor,windsor_daily.csv,70,1981-03-10,4716,6.8,-0.4,3.2,0.4,0,0.4,3.2,False,,,1981,3,False,False,0,0,,,,,,,,,,,,,,,,,,,,,,,Windsor,Southwest,42.28,True,True
windsor,windsor_daily.csv,71,1981-03-11,4716,0.9,-1.8,-0.5,0,0,0,-0.5,False,,,1981,3,False,False,0,0,,,,,,,,,,,,,,,,,,,,,,,Windsor,Southwest,42.28,True,True
windsor,windsor_daily.csv,72,1981-03-12,4716,14,-1.8,6.1,0,0,0,6.1,False,,,1981,3,False,False,0,0,,,,,,,,,,,,,,,,,,,,,,,Windsor,Southwest,42.28,True,True
windsor,windsor_daily.csv,73,1981-03-13,4716,3.5,-4.7,-0.6,0,0,0,-0.6,False,,,1981,3,False,False,0,0,,,,,,,,,,,,,,,,,,,,,,,Windsor,Southwest,42.28,True,True
windsor,windsor_daily.csv,74,1981-03-14,4716,5.6,-6.7,-0.6,0,0,0,-0.6,False,,,1981,3,False,False,0,0,,,,,,,,,,,,,,,,,,,,,,,Windsor,Southwest,42.28,True,True
windsor,windsor_daily.csv,75,1981-03-15,4716,14.8,-1,6.9,0.2,1.2,1.4,6.9,False,,,1981,3,False,False,1,0,,,,,,,,,,,,,,,,,,,,,,,Windsor,Southwest,42.28,True,True
windsor,windsor_daily.csv,76,1981-03-16,4716,0.8,-7.2,-3.2,0,0,0,-3.2,False,,,1981,3,False,False,0,0,,,,,,,,,,,,,,,,,,,,,,,Windsor,Southwest,42.28,True,True
windsor,windsor_daily.csv,77,1981-03-17,4716,0.4,-6.3,-3,0,0.8,0.8,-3,False,,,1981,3,False,False,0,0,,,,,,,,,,,,,,,,,,,,,,,Windsor,Southwest,42.28,True,True
windsor,windsor_daily.csv,78,1981-03-18,4716,0,-8.3,-4.2,0,0,0,-4.2,False,,,1981,3,False,False,0,0,,,,,,,,,,,,,,,,,,,,,,,Windsor,Southwest,42.28,True,True
