city,enso_index,enso_group,metric,unit,n_group_winters,n_eligible,mean,median,std,min,max,eligible_years,city_name,region,latitude_approx,included_in_proposal,included_in_repo_study
thunderbay,ONI,Neutral,mean_temp,degrees C,13,11,-12.41939397,-12.6908046,2.706049293,-17.67666667,-7.814444444,"1982,1986,1990,1991,1997,2002,2004,2013,2014,2017,2026",Thunder Bay,Northwest,48.37,True,True
thunderbay,ONI,Neutral,temp_anomaly,degrees C,13,11,-0.8860236292,-1.157434253,2.706049293,-6.143296322,3.718925901,"1982,1986,1990,1991,1997,2002,2004,2013,2014,2017,2026",Thunder Bay,Northwest,48.37,True,True
thunderbay,ONI,Neutral,snowfall_total_cm,cm,13,4,111.85,112.1,11.31326655,98.1,125.1,"1982,1986,1990,1991",Thunder Bay,Northwest,48.37,True,True
thunderbay,ONI,Neutral,snow_days,days,13,4,23.75,23.5,5.737304826,17,31,"1982,1986,1990,1991",Thunder Bay,Northwest,48.37,True,True
thunderbay,ONI,Neutral,days_below_m20,days,13,11,39.09090909,38,13.5163201,17,64,"1982,1986,1990,1991,1997,2002,2004,2013,2014,2017,2026",Thunder Bay,Northwest,48.37,True,True
thunderbay,ONI,El Nino,mean_temp,degrees C,15,14,-10.15778401,-10.35016484,2.312649961,-13.97045455,-5.771428571,"1983,1987,1988,1992,1995,1998,2003,2007,2010,2015,2016,2019,2020,2024",Thunder Bay,Northwest,48.37,True,True
thunderbay,ONI,El Nino,temp_anomaly,degrees C,15,14,1.375586339,1.18320551,2.312649961,-2.4370842,5.761941774,"1983,1987,1988,1992,1995,1998,2003,2007,2010,2015,2016,2019,2020,2024",Thunder Bay,Northwest,48.37,True,True
thunderbay,ONI,El Nino,snowfall_total_cm,cm,15,5,74.58,68.4,34.34416981,26.1,108.6,"1983,1987,1988,1992,2003",Thunder Bay,Northwest,48.37,True,True
thunderbay,ONI,El Nino,snow_days,days,15,5,17.6,19,7.231873893,6,24,"1983,1987,1988,1992,2003",Thunder Bay,Northwest,48.37,True,True
thunderbay,ONI,El Nino,days_below_m20,days,15,10,31,32.5,10.38160767,14,48,"1983,1987,1988,1992,1995,2003,2007,2010,2020,2024",Thunder Bay,Northwest,48.37,True,True
